Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1961,Y1961F,Y1961N,Y1962,Y1962F,Y1962N,Y1963,Y1963F,Y1963N,Y1964,Y1964F,Y1964N,Y1965,Y1965F,Y1965N,Y1966,Y1966F,Y1966N,Y1967,Y1967F,Y1967N,Y1968,Y1968F,Y1968N,Y1969,Y1969F,Y1969N,Y1970,Y1970F,Y1970N,Y1971,Y1971F,Y1971N,Y1972,Y1972F,Y1972N,Y1973,Y1973F,Y1973N,Y1974,Y1974F,Y1974N,Y1975,Y1975F,Y1975N,Y1976,Y1976F,Y1976N,Y1977,Y1977F,Y1977N,Y1978,Y1978F,Y1978N,Y1979,Y1979F,Y1979N,Y1980,Y1980F,Y1980N,Y1981,Y1981F,Y1981N,Y1982,Y1982F,Y1982N,Y1983,Y1983F,Y1983N,Y1984,Y1984F,Y1984N,Y1985,Y1985F,Y1985N,Y1986,Y1986F,Y1986N,Y1987,Y1987F,Y1987N,Y1988,Y1988F,Y1988N,Y1989,Y1989F,Y1989N,Y1990,Y1990F,Y1990N,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2030,Y2030F,Y2030N,Y2050,Y2050F,Y2050N
"2","Afghanistan","3102","Nutrient nitrogen N (total)","5162","Agricultural Use in nutrients","3050","FAO TIER 1","kg of nutrients","1000000.000000","E",,"1000000.000000","E",,"1000000.000000","E",,"1000000.000000","E",,"1000000.000000","E",,"1000000.000000","X",,"9000000.000000","X",,"14000000.000000","X",,"15000000.000000","X",,"16000000.000000","X",,"14800000.000000","X",,"16000000.000000","E",,"17700000.000000","Qm",,"24200000.000000","Qm",,"27668000.000000","Qm",,"30646000.000000","Qm",,"37014000.000000","Qm",,"35497000.000000","Qm",,"33227000.000000","Qm",,"37846000.000000","Qm",,"28740000.000000","Qm",,"38843000.000000","Qm",,"36800000.000000","Qm",,"52820000.000000","Qm",,"53182000.000000","Qm",,"50720000.000000","Qm",,"52800000.000000","X",,"49830000.000000","Qm",,"50000000.000000","Qm",,"44100000.000000","X",,"42800000.000000","X",,"38900000.000000","X",,"40000000.000000","X",,,,,,,,"5000000.000000","X",,"5000000.000000","X",,"6000000.000000","X",,"5000000.000000","X",,"5000000.000000","X",,"18400000.000000","X",,"24523529.900000","Fb",,"20407018.700000","Fb",,"22339687.600000","Fb",,"20466146.000000","Fb",,"20463218.600000","Fb",,"16377291.200000","Fb",,"14432029.000000","Fb",,"14155876.700000","Fb",,"12929014.600000","Fb",,"22970625.000000","Fb",,"17065246.600000","Fb",,"34903786.200000","Fb",,"73872842.600000","Fb",,"21075568.800000","Fb",,"96670845.600000","Fb",,"140775853.200000","Fb",,"46613503.440000","Fb",,"94686734.080000","Fc",,"42699076.870600","Fc",,"79218024.194100","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","516202","Nitrogen fertilizer content applied that leaches","3050","FAO TIER 1","kg of nutrients","300000.000000","Fc",,"300000.000000","Fc",,"300000.000000","Fc",,"300000.000000","Fc",,"300000.000000","Fc",,"300000.000000","Fc",,"2700000.000000","Fc",,"4200000.000000","Fc",,"4500000.000000","Fc",,"4800000.000000","Fc",,"4440000.000000","Fc",,"4800000.000000","Fc",,"5310000.000000","Fc",,"7260000.000000","Fc",,"8300400.000000","Fc",,"9193800.000000","Fc",,"11104200.000000","Fc",,"10649100.000000","Fc",,"9968100.000000","Fc",,"11353800.000000","Fc",,"8622000.000000","Fc",,"11652900.000000","Fc",,"11040000.000000","Fc",,"15846000.000000","Fc",,"15954600.000000","Fc",,"15216000.000000","Fc",,"15840000.000000","Fc",,"14949000.000000","Fc",,"15000000.000000","Fc",,"13230000.000000","Fc",,"12840000.000000","Fc",,"11670000.000000","Fc",,"12000000.000000","Fc",,,,,,,,"1500000.000000","Fc",,"1500000.000000","Fc",,"1800000.000000","Fc",,"1500000.000000","Fc",,"1500000.000000","Fc",,"5520000.000000","Fc",,"7357058.970000","Fc",,"6122105.610000","Fc",,"6701906.280000","Fc",,"6139843.800000","Fc",,"6138965.580000","Fc",,"4913187.360000","Fc",,"4329608.700000","Fc",,"4246763.010000","Fc",,"3878704.380000","Fc",,"6891187.500000","Fc",,"5119573.980000","Fc",,"10471135.860000","Fc",,"22161852.780000","Fc",,"6322670.640000","Fc",,"29001253.680000","Fc",,"42232755.960000","Fc",,"13984051.032000","Fc",,"28406020.224000","Fc",,"12809723.061200","Fc",,"23765407.258200","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","516201","Nitrogen fertilizer content applied that volatilises","3050","FAO TIER 1","kg of nutrients","100000.000000","Fc",,"100000.000000","Fc",,"100000.000000","Fc",,"100000.000000","Fc",,"100000.000000","Fc",,"100000.000000","Fc",,"900000.000000","Fc",,"1400000.000000","Fc",,"1500000.000000","Fc",,"1600000.000000","Fc",,"1480000.000000","Fc",,"1600000.000000","Fc",,"1770000.000000","Fc",,"2420000.000000","Fc",,"2766800.000000","Fc",,"3064600.000000","Fc",,"3701400.000000","Fc",,"3549700.000000","Fc",,"3322700.000000","Fc",,"3784600.000000","Fc",,"2874000.000000","Fc",,"3884300.000000","Fc",,"3680000.000000","Fc",,"5282000.000000","Fc",,"5318200.000000","Fc",,"5072000.000000","Fc",,"5280000.000000","Fc",,"4983000.000000","Fc",,"5000000.000000","Fc",,"4410000.000000","Fc",,"4280000.000000","Fc",,"3890000.000000","Fc",,"4000000.000000","Fc",,,,,,,,"500000.000000","Fc",,"500000.000000","Fc",,"600000.000000","Fc",,"500000.000000","Fc",,"500000.000000","Fc",,"1840000.000000","Fc",,"2452352.990000","Fc",,"2040701.870000","Fc",,"2233968.760000","Fc",,"2046614.600000","Fc",,"2046321.860000","Fc",,"1637729.120000","Fc",,"1443202.900000","Fc",,"1415587.670000","Fc",,"1292901.460000","Fc",,"2297062.500000","Fc",,"1706524.660000","Fc",,"3490378.620000","Fc",,"7387284.260000","Fc",,"2107556.880000","Fc",,"9667084.560000","Fc",,"14077585.320000","Fc",,"4661350.344000","Fc",,"9468673.408000","Fc",,"4269907.687100","Fc",,"7921802.419400","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","72343","Direct emissions (N2O) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.015700","Fc",,"0.015700","Fc",,"0.015700","Fc",,"0.015700","Fc",,"0.015700","Fc",,"0.015700","Fc",,"0.141400","Fc",,"0.220000","Fc",,"0.235700","Fc",,"0.251400","Fc",,"0.232600","Fc",,"0.251400","Fc",,"0.278100","Fc",,"0.380300","Fc",,"0.434800","Fc",,"0.481600","Fc",,"0.581600","Fc",,"0.557800","Fc",,"0.522100","Fc",,"0.594700","Fc",,"0.451600","Fc",,"0.610400","Fc",,"0.578300","Fc",,"0.830000","Fc",,"0.835700","Fc",,"0.797000","Fc",,"0.829700","Fc",,"0.783000","Fc",,"0.785700","Fc",,"0.693000","Fc",,"0.672600","Fc",,"0.611300","Fc",,"0.628600","Fc",,,,,,,,"0.078600","Fc",,"0.078600","Fc",,"0.094300","Fc",,"0.078600","Fc",,"0.078600","Fc",,"0.289100","Fc",,"0.385400","Fc",,"0.320700","Fc",,"0.351100","Fc",,"0.321600","Fc",,"0.321600","Fc",,"0.257400","Fc",,"0.226800","Fc",,"0.222400","Fc",,"0.203200","Fc",,"0.361000","Fc",,"0.268200","Fc",,"0.548500","Fc",,"1.160900","Fc",,"0.331200","Fc",,"1.519100","Fc",,"2.212200","Fc",,"0.732500","Fc",,"1.487900","Fc",,"0.671000","Fc",,"1.244900","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","723632","Indirect emissions (N2O that leaches) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.003500","Fc",,"0.003500","Fc",,"0.003500","Fc",,"0.003500","Fc",,"0.003500","Fc",,"0.003500","Fc",,"0.031800","Fc",,"0.049500","Fc",,"0.053000","Fc",,"0.056600","Fc",,"0.052300","Fc",,"0.056600","Fc",,"0.062600","Fc",,"0.085600","Fc",,"0.097800","Fc",,"0.108400","Fc",,"0.130900","Fc",,"0.125500","Fc",,"0.117500","Fc",,"0.133800","Fc",,"0.101600","Fc",,"0.137300","Fc",,"0.130100","Fc",,"0.186800","Fc",,"0.188000","Fc",,"0.179300","Fc",,"0.186700","Fc",,"0.176200","Fc",,"0.176800","Fc",,"0.155900","Fc",,"0.151300","Fc",,"0.137500","Fc",,"0.141400","Fc",,,,,,,,"0.017700","Fc",,"0.017700","Fc",,"0.021200","Fc",,"0.017700","Fc",,"0.017700","Fc",,"0.065100","Fc",,"0.086700","Fc",,"0.072200","Fc",,"0.079000","Fc",,"0.072400","Fc",,"0.072400","Fc",,"0.057900","Fc",,"0.051000","Fc",,"0.050100","Fc",,"0.045700","Fc",,"0.081200","Fc",,"0.060300","Fc",,"0.123400","Fc",,"0.261200","Fc",,"0.074500","Fc",,"0.341800","Fc",,"0.497700","Fc",,"0.164800","Fc",,"0.334800","Fc",,"0.151000","Fc",,"0.280100","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","723631","Indirect emissions (N2O that volatilises) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.001600","Fc",,"0.001600","Fc",,"0.001600","Fc",,"0.001600","Fc",,"0.001600","Fc",,"0.001600","Fc",,"0.014100","Fc",,"0.022000","Fc",,"0.023600","Fc",,"0.025100","Fc",,"0.023300","Fc",,"0.025100","Fc",,"0.027800","Fc",,"0.038000","Fc",,"0.043500","Fc",,"0.048200","Fc",,"0.058200","Fc",,"0.055800","Fc",,"0.052200","Fc",,"0.059500","Fc",,"0.045200","Fc",,"0.061000","Fc",,"0.057800","Fc",,"0.083000","Fc",,"0.083600","Fc",,"0.079700","Fc",,"0.083000","Fc",,"0.078300","Fc",,"0.078600","Fc",,"0.069300","Fc",,"0.067300","Fc",,"0.061100","Fc",,"0.062900","Fc",,,,,,,,"0.007900","Fc",,"0.007900","Fc",,"0.009400","Fc",,"0.007900","Fc",,"0.007900","Fc",,"0.028900","Fc",,"0.038500","Fc",,"0.032100","Fc",,"0.035100","Fc",,"0.032200","Fc",,"0.032200","Fc",,"0.025700","Fc",,"0.022700","Fc",,"0.022200","Fc",,"0.020300","Fc",,"0.036100","Fc",,"0.026800","Fc",,"0.054800","Fc",,"0.116100","Fc",,"0.033100","Fc",,"0.151900","Fc",,"0.221200","Fc",,"0.073200","Fc",,"0.148800","Fc",,"0.067100","Fc",,"0.124500","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","72363","Indirect emissions (N2O) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.005100","Fc",,"0.005100","Fc",,"0.005100","Fc",,"0.005100","Fc",,"0.005100","Fc",,"0.005100","Fc",,"0.046000","Fc",,"0.071500","Fc",,"0.076600","Fc",,"0.081700","Fc",,"0.075600","Fc",,"0.081700","Fc",,"0.090400","Fc",,"0.123600","Fc",,"0.141300","Fc",,"0.156500","Fc",,"0.189000","Fc",,"0.181300","Fc",,"0.169700","Fc",,"0.193300","Fc",,"0.146800","Fc",,"0.198400","Fc",,"0.187900","Fc",,"0.269800","Fc",,"0.271600","Fc",,"0.259000","Fc",,"0.269700","Fc",,"0.254500","Fc",,"0.255400","Fc",,"0.225200","Fc",,"0.218600","Fc",,"0.198700","Fc",,"0.204300","Fc",,,,,,,,"0.025500","Fc",,"0.025500","Fc",,"0.030600","Fc",,"0.025500","Fc",,"0.025500","Fc",,"0.094000","Fc",,"0.125200","Fc",,"0.104200","Fc",,"0.114100","Fc",,"0.104500","Fc",,"0.104500","Fc",,"0.083600","Fc",,"0.073700","Fc",,"0.072300","Fc",,"0.066000","Fc",,"0.117300","Fc",,"0.087200","Fc",,"0.178300","Fc",,"0.377300","Fc",,"0.107600","Fc",,"0.493700","Fc",,"0.719000","Fc",,"0.238100","Fc",,"0.483600","Fc",,"0.218100","Fc",,"0.404600","Fc",
"2","Afghanistan","3102","Nutrient nitrogen N (total)","7230","Emissions (N2O)","3050","FAO TIER 1","kilotonnes","0.020800","Fc",,"0.020800","Fc",,"0.020800","Fc",,"0.020800","Fc",,"0.020800","Fc",,"0.020800","Fc",,"0.187400","Fc",,"0.291500","Fc",,"0.312300","Fc",,"0.333100","Fc",,"0.308200","Fc",,"0.333100","Fc",,"0.368500","Fc",,"0.503900","Fc",,"0.576100","Fc",,"0.638100","Fc",,"0.770700","Fc",,"0.739100","Fc",,"0.691800","Fc",,"0.788000","Fc",,"0.598400","Fc",,"0.808800","Fc",,"0.766200","Fc",,"1.099800","Fc",,"1.107300","Fc",,"1.056100","Fc",,"1.099400","Fc",,"1.037500","Fc",,"1.041100","Fc",,"0.918200","Fc",,"0.891200","Fc",,"0.810000","Fc",,"0.832900","Fc",,,,,,,,"0.104100","Fc",,"0.104100","Fc",,"0.124900","Fc",,"0.104100","Fc",,"0.104100","Fc",,"0.383100","Fc",,"0.510600","Fc",,"0.424900","Fc",,"0.465100","Fc",,"0.426100","Fc",,"0.426100","Fc",,"0.341000","Fc",,"0.300500","Fc",,"0.294700","Fc",,"0.269200","Fc",,"0.478300","Fc",,"0.355300","Fc",,"0.726700","Fc",,"1.538100","Fc",,"0.438800","Fc",,"2.012800","Fc",,"2.931200","Fc",,"0.970600","Fc",,"1.971500","Fc",,"0.889100","Fc",,"1.649400","Fc",
"3","Albania","3102","Nutrient nitrogen N (total)","5162","Agricultural Use in nutrients","3050","FAO TIER 1","kg of nutrients","3187000.000000","Qm",,"2000000.000000","X",,"2000000.000000","X",,"2000000.000000","X",,"2000000.000000","X",,"3000000.000000","X",,"7000000.000000","X",,"19000000.000000","X",,"16000000.000000","X",,"22500000.000000","Qm",,"31000000.000000","X",,"32600000.000000","X",,"36100000.000000","X",,"36300000.000000","X",,"36000000.000000","X",,"45300000.000000","X",,"50000000.000000","X",,"71900000.000000","Qm",,"70900000.000000","Qm",,"68800000.000000","Qm",,"72500000.000000","X",,"70800000.000000","Qm",,"73000000.000000","X",,"75000000.000000","X",,"75000000.000000","X",,"75000000.000000","X",,"66100000.000000","Qm",,"69300000.000000","Qm",,"79900000.000000","Qm",,"73500000.000000","X",,"22300000.000000","X",,"14800000.000000","X",,"15220000.000000","Qm",,"12680000.000000","Qm",,"10000000.000000","X",,"5500000.000000","X",,"4200000.000000","X",,"18000000.000000","X",,"5800000.000000","X",,"12100000.000000","X",,"10700000.000000","X",,"38216975.000000","E",,"37378305.000000","E",,"36119715.000000","E",,"37210640.000000","E",,"30333875.000000","E",,"31483815.000000","E",,"28744795.000000","E",,"33940180.000000","E",,"31292435.000000","E",,"36892700.000000","E",,"34944125.000000","E",,"30711914.900000","E",,"30711760.000000","E",,"36803920.000000","E",,"42896080.000000","E",,"39184915.000000","E",,"24769067.769000","A",,"35616687.589700","Fc",,"44854709.280400","Fc",,"47881567.983200","Fc",
"3","Albania","3102","Nutrient nitrogen N (total)","516202","Nitrogen fertilizer content applied that leaches","3050","FAO TIER 1","kg of nutrients","956100.000000","Fc",,"600000.000000","Fc",,"600000.000000","Fc",,"600000.000000","Fc",,"600000.000000","Fc",,"900000.000000","Fc",,"2100000.000000","Fc",,"5700000.000000","Fc",,"4800000.000000","Fc",,"6750000.000000","Fc",,"9300000.000000","Fc",,"9780000.000000","Fc",,"10830000.000000","Fc",,"10890000.000000","Fc",,"10800000.000000","Fc",,"13590000.000000","Fc",,"15000000.000000","Fc",,"21570000.000000","Fc",,"21270000.000000","Fc",,"20640000.000000","Fc",,"21750000.000000","Fc",,"21240000.000000","Fc",,"21900000.000000","Fc",,"22500000.000000","Fc",,"22500000.000000","Fc",,"22500000.000000","Fc",,"19830000.000000","Fc",,"20790000.000000","Fc",,"23970000.000000","Fc",,"22050000.000000","Fc",,"6690000.000000","Fc",,"4440000.000000","Fc",,"4566000.000000","Fc",,"3804000.000000","Fc",,"3000000.000000","Fc",,"1650000.000000","Fc",,"1260000.000000","Fc",,"5400000.000000","Fc",,"1740000.000000","Fc",,"3630000.000000","Fc",,"3210000.000000","Fc",,"11465092.500000","Fc",,"11213491.500000","Fc",,"10835914.500000","Fc",,"11163192.000000","Fc",,"9100162.500000","Fc",,"9445144.500000","Fc",,"8623438.500000","Fc",,"10182054.000000","Fc",,"9387730.500000","Fc",,"11067810.000000","Fc",,"10483237.500000","Fc",,"9213574.470000","Fc",,"9213528.000000","Fc",,"11041176.000000","Fc",,"12868824.000000","Fc",,"11755474.500000","Fc",,"7430720.330700","Fc",,"10685006.276900","Fc",,"13456412.784100","Fc",,"14364470.394900","Fc",
