Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2030,Y2050
"2","Afghanistan","3102","Nutrient nitrogen N (total)","5162","Agricultural Use in nutrients","3050","FAO TIER 1","kg of nutrients","1000000.000000","1000000.000000","1000000.000000","1000000.000000","1000000.000000","1000000.000000","9000000.000000","14000000.000000","15000000.000000","16000000.000000","14800000.000000","16000000.000000","17700000.000000","24200000.000000","27668000.000000","30646000.000000","37014000.000000","35497000.000000","33227000.000000","37846000.000000","28740000.000000","38843000.000000","36800000.000000","52820000.000000","53182000.000000","50720000.000000","52800000.000000","49830000.000000","50000000.000000","44100000.000000","42800000.000000","38900000.000000","40000000.000000",,,"5000000.000000","5000000.000000","6000000.000000","5000000.000000","5000000.000000","18400000.000000","24523529.900000","20407018.700000","22339687.600000","20466146.000000","20463218.600000","16377291.200000","14432029.000000","14155876.700000","12929014.600000","22970625.000000","17065246.600000","34903786.200000","73872842.600000","21075568.800000","96670845.600000","140775853.200000","46613503.440000","94686734.080000","42699076.870600","79218024.194100"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","516202","Nitrogen fertilizer content applied that leaches","3050","FAO TIER 1","kg of nutrients","300000.000000","300000.000000","300000.000000","300000.000000","300000.000000","300000.000000","2700000.000000","4200000.000000","4500000.000000","4800000.000000","4440000.000000","4800000.000000","5310000.000000","7260000.000000","8300400.000000","9193800.000000","11104200.000000","10649100.000000","9968100.000000","11353800.000000","8622000.000000","11652900.000000","11040000.000000","15846000.000000","15954600.000000","15216000.000000","15840000.000000","14949000.000000","15000000.000000","13230000.000000","12840000.000000","11670000.000000","12000000.000000",,,"1500000.000000","1500000.000000","1800000.000000","1500000.000000","1500000.000000","5520000.000000","7357058.970000","6122105.610000","6701906.280000","6139843.800000","6138965.580000","4913187.360000","4329608.700000","4246763.010000","3878704.380000","6891187.500000","5119573.980000","10471135.860000","22161852.780000","6322670.640000","29001253.680000","42232755.960000","13984051.032000","28406020.224000","12809723.061200","23765407.258200"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","516201","Nitrogen fertilizer content applied that volatilises","3050","FAO TIER 1","kg of nutrients","100000.000000","100000.000000","100000.000000","100000.000000","100000.000000","100000.000000","900000.000000","1400000.000000","1500000.000000","1600000.000000","1480000.000000","1600000.000000","1770000.000000","2420000.000000","2766800.000000","3064600.000000","3701400.000000","3549700.000000","3322700.000000","3784600.000000","2874000.000000","3884300.000000","3680000.000000","5282000.000000","5318200.000000","5072000.000000","5280000.000000","4983000.000000","5000000.000000","4410000.000000","4280000.000000","3890000.000000","4000000.000000",,,"500000.000000","500000.000000","600000.000000","500000.000000","500000.000000","1840000.000000","2452352.990000","2040701.870000","2233968.760000","2046614.600000","2046321.860000","1637729.120000","1443202.900000","1415587.670000","1292901.460000","2297062.500000","1706524.660000","3490378.620000","7387284.260000","2107556.880000","9667084.560000","14077585.320000","4661350.344000","9468673.408000","4269907.687100","7921802.419400"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","72343","Direct emissions (N2O) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.015700","0.015700","0.015700","0.015700","0.015700","0.015700","0.141400","0.220000","0.235700","0.251400","0.232600","0.251400","0.278100","0.380300","0.434800","0.481600","0.581600","0.557800","0.522100","0.594700","0.451600","0.610400","0.578300","0.830000","0.835700","0.797000","0.829700","0.783000","0.785700","0.693000","0.672600","0.611300","0.628600",,,"0.078600","0.078600","0.094300","0.078600","0.078600","0.289100","0.385400","0.320700","0.351100","0.321600","0.321600","0.257400","0.226800","0.222400","0.203200","0.361000","0.268200","0.548500","1.160900","0.331200","1.519100","2.212200","0.732500","1.487900","0.671000","1.244900"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","723632","Indirect emissions (N2O that leaches) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.003500","0.003500","0.003500","0.003500","0.003500","0.003500","0.031800","0.049500","0.053000","0.056600","0.052300","0.056600","0.062600","0.085600","0.097800","0.108400","0.130900","0.125500","0.117500","0.133800","0.101600","0.137300","0.130100","0.186800","0.188000","0.179300","0.186700","0.176200","0.176800","0.155900","0.151300","0.137500","0.141400",,,"0.017700","0.017700","0.021200","0.017700","0.017700","0.065100","0.086700","0.072200","0.079000","0.072400","0.072400","0.057900","0.051000","0.050100","0.045700","0.081200","0.060300","0.123400","0.261200","0.074500","0.341800","0.497700","0.164800","0.334800","0.151000","0.280100"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","723631","Indirect emissions (N2O that volatilises) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.001600","0.001600","0.001600","0.001600","0.001600","0.001600","0.014100","0.022000","0.023600","0.025100","0.023300","0.025100","0.027800","0.038000","0.043500","0.048200","0.058200","0.055800","0.052200","0.059500","0.045200","0.061000","0.057800","0.083000","0.083600","0.079700","0.083000","0.078300","0.078600","0.069300","0.067300","0.061100","0.062900",,,"0.007900","0.007900","0.009400","0.007900","0.007900","0.028900","0.038500","0.032100","0.035100","0.032200","0.032200","0.025700","0.022700","0.022200","0.020300","0.036100","0.026800","0.054800","0.116100","0.033100","0.151900","0.221200","0.073200","0.148800","0.067100","0.124500"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","72363","Indirect emissions (N2O) (Synthetic fertilizers)","3050","FAO TIER 1","kilotonnes","0.005100","0.005100","0.005100","0.005100","0.005100","0.005100","0.046000","0.071500","0.076600","0.081700","0.075600","0.081700","0.090400","0.123600","0.141300","0.156500","0.189000","0.181300","0.169700","0.193300","0.146800","0.198400","0.187900","0.269800","0.271600","0.259000","0.269700","0.254500","0.255400","0.225200","0.218600","0.198700","0.204300",,,"0.025500","0.025500","0.030600","0.025500","0.025500","0.094000","0.125200","0.104200","0.114100","0.104500","0.104500","0.083600","0.073700","0.072300","0.066000","0.117300","0.087200","0.178300","0.377300","0.107600","0.493700","0.719000","0.238100","0.483600","0.218100","0.404600"
"2","Afghanistan","3102","Nutrient nitrogen N (total)","7230","Emissions (N2O)","3050","FAO TIER 1","kilotonnes","0.020800","0.020800","0.020800","0.020800","0.020800","0.020800","0.187400","0.291500","0.312300","0.333100","0.308200","0.333100","0.368500","0.503900","0.576100","0.638100","0.770700","0.739100","0.691800","0.788000","0.598400","0.808800","0.766200","1.099800","1.107300","1.056100","1.099400","1.037500","1.041100","0.918200","0.891200","0.810000","0.832900",,,"0.104100","0.104100","0.124900","0.104100","0.104100","0.383100","0.510600","0.424900","0.465100","0.426100","0.426100","0.341000","0.300500","0.294700","0.269200","0.478300","0.355300","0.726700","1.538100","0.438800","2.012800","2.931200","0.970600","1.971500","0.889100","1.649400"
"3","Albania","3102","Nutrient nitrogen N (total)","5162","Agricultural Use in nutrients","3050","FAO TIER 1","kg of nutrients","3187000.000000","2000000.000000","2000000.000000","2000000.000000","2000000.000000","3000000.000000","7000000.000000","19000000.000000","16000000.000000","22500000.000000","31000000.000000","32600000.000000","36100000.000000","36300000.000000","36000000.000000","45300000.000000","50000000.000000","71900000.000000","70900000.000000","68800000.000000","72500000.000000","70800000.000000","73000000.000000","75000000.000000","75000000.000000","75000000.000000","66100000.000000","69300000.000000","79900000.000000","73500000.000000","22300000.000000","14800000.000000","15220000.000000","12680000.000000","10000000.000000","5500000.000000","4200000.000000","18000000.000000","5800000.000000","12100000.000000","10700000.000000","38216975.000000","37378305.000000","36119715.000000","37210640.000000","30333875.000000","31483815.000000","28744795.000000","33940180.000000","31292435.000000","36892700.000000","34944125.000000","30711914.900000","30711760.000000","36803920.000000","42896080.000000","39184915.000000","24769067.769000","35616687.589700","44854709.280400","47881567.983200"
"3","Albania","3102","Nutrient nitrogen N (total)","516202","Nitrogen fertilizer content applied that leaches","3050","FAO TIER 1","kg of nutrients","956100.000000","600000.000000","600000.000000","600000.000000","600000.000000","900000.000000","2100000.000000","5700000.000000","4800000.000000","6750000.000000","9300000.000000","9780000.000000","10830000.000000","10890000.000000","10800000.000000","13590000.000000","15000000.000000","21570000.000000","21270000.000000","20640000.000000","21750000.000000","21240000.000000","21900000.000000","22500000.000000","22500000.000000","22500000.000000","19830000.000000","20790000.000000","23970000.000000","22050000.000000","6690000.000000","4440000.000000","4566000.000000","3804000.000000","3000000.000000","1650000.000000","1260000.000000","5400000.000000","1740000.000000","3630000.000000","3210000.000000","11465092.500000","11213491.500000","10835914.500000","11163192.000000","9100162.500000","9445144.500000","8623438.500000","10182054.000000","9387730.500000","11067810.000000","10483237.500000","9213574.470000","9213528.000000","11041176.000000","12868824.000000","11755474.500000","7430720.330700","10685006.276900","13456412.784100","14364470.394900"
